Nombre del local,ID de pedido,ID del restaurante,Método de entrega,Forma de pago,Estado del pedido,Fecha del pedido,Aceptado en,Lista para retiro,Rider near pickup at,Enviado a,Entregado en,Cancelado en,Motivo de rechazo,Tipo de rechazo,Total del pedido,Tarifa mínima por pedido,Vendor Refunds,Descuentos subsidiados por la tienda,Voucher subsidiado por la tienda,Servicio PedidosYa,Cargos,Joker Fee,Is Payable,Is Paid,Ingreso estimado,Cash amount already collected by vendor,Monto adeudado a PedidosYa,Payout Amount,PedidosYa-Funded Discount,PedidosYa-Funded Voucher,Total Discount,Total Voucher,Tax Amount,Artículos
Starbucks Galería 360,1190755274,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-02 08:43,2024-06-02 08:44,,2024-06-02 08:44,2024-06-02 08:48,2024-06-02 08:59,,,,"520,00","0,00","0,00","0,00","0,00","83,20","0,00","0,00",,,"434,93","0,00","0,00","434,93","0,00","0,00","0,00","0,00","0,00","1 Americano [1 Fria, 1 Coconut, 1 Sin Azúcar, 1 Venti 20oz], 1 Americano [1 Fria, 1 Coconut, 1 Sin Azúcar, 1 Venti 20oz]"
Starbucks Galería 360,1190788051,183569,Plataforma de entrega,Online,Entregado,2024-06-02 09:49,2024-06-02 09:49,,2024-06-02 09:52,2024-06-02 09:59,2024-06-02 10:05,,,,"2.290,00","0,00","0,00","0,00","0,00","366,40","0,00","0,00",,,"1.915,36","0,00","0,00","1.915,36","0,00","0,00","0,00","0,00","0,00","1 Caramel Frappuccino [1 Grande 16oz, 1 Deslactosada], 2 Sandwich de Tocineta de Pavo Low-Fat & Huevo, 5 Sandwich de Salchicha, Queso Cheddar & Huevo"
Starbucks Galería 360,1190812099,183569,Plataforma de entrega,Online,Entregado,2024-06-02 10:43,2024-06-02 10:44,,2024-06-02 10:44,2024-06-02 10:57,2024-06-02 11:02,,,,"400,00","0,00","0,00","0,00","0,00","64,00","0,00","0,00",,,"334,56","0,00","0,00","334,56","17,50","0,00","17,50","0,00","0,00","1 Java Chip Frappuccino® [1 Grande 16oz, 1 Coconut]"
Starbucks Galería 360,1190813110,183569,Plataforma de entrega,Online,Entregado,2024-06-02 10:55,2024-06-02 10:55,,2024-06-02 10:55,2024-06-02 11:07,2024-06-02 11:15,,,,"420,00","0,00","0,00","0,00","0,00","67,20","0,00","0,00",,,"351,29","0,00","0,00","351,29","0,00","0,00","0,00","0,00","0,00","1 Chocolate Cookies & Créme Frappuccino® [1 Si, 1 Grande (16oz)]"
Starbucks Galería 360,1190814123,183569,Plataforma de entrega,Online,Entregado,2024-06-02 11:05,2024-06-02 11:05,,2024-06-02 11:10,2024-06-02 11:16,2024-06-02 11:23,,,,"767,00","0,00","0,00","0,00","0,00","122,72","0,00","0,00",,,"641,52","0,00","0,00","641,52","17,50","0,00","17,50","0,00","0,00","1 Coffee Cake, 1 Key Lime Pie Frappuccino® [1 Venti (20oz), 1 Deslactosada, 1 Si], 2 Mini Pastel de Nata"
Starbucks Galería 360,1190909749,183569,Plataforma de entrega,Online,Entregado,2024-06-02 12:14,2024-06-02 12:14,,2024-06-02 12:29,2024-06-02 12:32,2024-06-02 12:43,,,,"415,00","0,00","0,00","0,00","0,00","66,40","0,00","0,00",,,"347,11","0,00","0,00","347,11","0,00","0,00","0,00","0,00","0,00",1 Iced Chocolate Shaken Espresso [1 Venti (20oz)]
Starbucks Galería 360,1190910591,183569,Plataforma de entrega,Online,Entregado,2024-06-02 12:20,2024-06-02 12:20,,2024-06-02 12:29,2024-06-02 12:32,2024-06-02 12:49,,,,"365,00","0,00","0,00","0,00","0,00","58,40","0,00","0,00",,,"305,29","0,00","0,00","305,29","17,50","0,00","17,50","0,00","0,00","1 Mocha Frappuccino® [1 Grande 16oz, 1 Si, 1 Entera]"
Starbucks Galería 360,1190916150,183569,Plataforma de entrega,Online,Entregado,2024-06-02 11:59,2024-06-02 12:00,,2024-06-02 12:02,2024-06-02 12:10,2024-06-02 12:22,,,,"975,00","0,00","0,00","0,00","0,00","156,00","0,00","0,00",,,"815,49","0,00","0,00","815,49","0,00","0,00","0,00","0,00","0,00","1 Cafè Mocha [1 No, 1 Blanca, 1 Fria, 1 Deslactosada, 1 Si, 1 Caramelo, 1 Grande 16oz], 1 Caramel Frappuccino [1 Grande 16oz, 1 Entera], 1 Blueberry Scone"
Starbucks Galería 360,1190918377,183569,Plataforma de entrega,Efectivo,Entregado,2024-06-02 12:16,2024-06-02 12:16,,2024-06-02 12:23,2024-06-02 12:26,2024-06-02 12:43,,,,"340,00","0,00","0,00","0,00","0,00","54,40","0,00","0,00",,,"284,38","0,00","0,00","284,38","0,00","0,00","0,00","0,00","0,00","1 Latte Macchiato [1 Caliente, 1 Deslactosada, 1 Vainilla, 1 Sin Azúcar, 1 Grande 16oz]"
Starbucks Galería 360,1190991810,183569,Plataforma de entrega,Online,Entregado,2024-06-02 13:26,2024-06-02 13:26,,2024-06-02 13:31,2024-06-02 13:34,2024-06-02 13:46,,,,"555,00","0,00","0,00","0,00","0,00","88,80","0,00","0,00",,,"464,20","0,00","0,00","464,20","0,00","0,00","0,00","0,00","0,00","1 Caramel Macchiato [1 Sin Azúcar, 1 Almond Milk, 1 Grande 16oz, 1 Fria], 1 Lemon Loaf"
